step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
3240,0.00006914,179.99,43.6436,12.2485,18.7476,57542,4642,535
3250,0.00006935,186.47,44.0725,10.0200,18.8041,57607,4636,477
3260,0.00006957,200.33,44.2180,10.3884,17.7086,57404,4760,556
3270,0.00006978,187.32,44.4718,10.9160,17.1677,57492,4736,493
3280,0.00006999,201.84,44.5805,10.7267,17.2226,57362,4742,617
3290,0.00007021,199.70,44.0751,10.7768,18.0518,57661,4614,445
3300,0.00007042,199.18,44.8128,10.9960,17.0981,57594,4653,474
3310,0.00007063,195.78,44.9260,11.3912,17.6054,57316,4827,576
3320,0.00007085,187.49,44.8860,10.3018,18.3826,57444,4760,516
3330,0.00007106,212.61,44.9678,11.4230,17.5166,57246,4886,588
3340,0.00007127,196.73,45.1798,11.9697,18.8551,57251,4922,546
3350,0.00007149,191.93,45.3003,11.7359,18.1410,57462,4724,534
3360,0.00007170,182.02,45.4163,10.4569,18.3764,57054,5027,639
3370,0.00007191,197.73,45.9213,10.3869,19.2927,57566,4655,499
3380,0.00007213,187.42,46.0427,11.3178,17.1532,57909,4380,431
3390,0.00007234,185.95,46.1395,11.5644,18.0585,57622,4580,517
3400,0.00007255,177.16,46.1864,9.7586,17.8553,57439,4743,538
3410,0.00007277,189.65,46.3170,10.2586,17.9790,57504,4684,532
3420,0.00007298,202.72,46.3990,9.9215,16.8146,58213,4170,337
3430,0.00007319,179.11,46.4417,11.0884,17.2539,57628,4605,487
3440,0.00007341,190.53,46.7343,11.3903,17.1518,57404,4770,546
3450,0.00007362,204.53,46.9754,12.1656,16.3183,57551,4698,470
3460,0.00007383,198.42,46.9039,12.8559,17.2431,57695,4498,527
3470,0.00007405,185.58,47.2551,10.3086,18.0104,57807,4437,476
3480,0.00007426,185.03,47.2117,10.8638,17.0809,57627,4558,535
3490,0.00007447,203.23,47.2904,11.8335,17.5665,57374,4743,603
3500,0.00007469,203.87,47.2126,10.0238,17.5042,56763,5279,678
3510,0.00007490,190.78,47.4077,10.1648,18.3206,58054,4285,381
3520,0.00007511,214.72,47.4679,9.7024,17.4622,57665,4584,471
3530,0.00007533,196.28,47.8992,12.5402,16.7209,57838,4484,399
3540,0.00007554,202.84,47.8198,10.0388,18.0816,57672,4585,463
3550,0.00007575,205.71,48.0887,10.4316,18.2530,57512,4713,496
3560,0.00007597,202.59,47.8754,10.1916,18.4546,57272,4837,610
3570,0.00007618,185.33,47.9829,10.4147,18.0458,57117,4990,613
3580,0.00007639,211.27,48.3551,11.6692,18.5995,57534,4695,491
3590,0.00007661,192.54,48.4435,10.5561,17.8146,58240,4142,338
3600,0.00007682,196.54,48.6630,8.9350,16.7005,57377,4841,502
3610,0.00007703,195.69,48.8729,10.2818,18.0739,57550,4701,469
3620,0.00007725,215.61,48.2512,9.8376,17.4754,57587,4622,511
3630,0.00007746,219.50,48.9659,9.6949,17.4001,57413,4792,515
3640,0.00007767,201.43,49.0231,12.4215,17.2801,56977,5168,575
3650,0.00007789,200.46,49.2915,10.7766,17.5508,57690,4595,435
3660,0.00007810,188.44,49.3434,9.6549,17.5391,57418,4771,532
3670,0.00007831,196.58,49.2365,10.0427,18.0973,57534,4656,530
3680,0.00007853,186.71,49.4183,10.8625,18.2603,57667,4578,476
3690,0.00007874,203.58,49.6062,9.7955,17.6498,58129,4142,450
3700,0.00007895,206.00,49.5203,11.1672,18.1547,57526,4715,479
3710,0.00007917,198.99,49.7477,9.1593,16.6252,57928,4383,409
3720,0.00007938,224.35,49.6353,9.9628,16.6730,57403,4759,558
3730,0.00007959,185.22,50.1329,10.2107,18.0366,57687,4532,501
3740,0.00007981,207.91,50.7463,9.5088,17.7402,57243,4954,523
3750,0.00008002,187.79,50.7549,9.8079,18.2656,57940,4354,426
3760,0.00008023,188.89,50.8305,9.3509,17.9863,57540,4705,475
3770,0.00008045,197.94,50.5165,9.1164,17.9424,58069,4282,369
3780,0.00008066,197.92,50.7104,10.9261,18.0646,57396,4769,555
3790,0.00008087,207.73,49.8187,9.0923,16.2771,57057,5060,603
3800,0.00008109,181.87,50.4635,9.5259,19.4922,57028,5079,613
3810,0.00008130,193.05,50.9099,9.6123,18.3028,57725,4548,447
3820,0.00008151,195.43,50.8181,9.5176,18.1621,56941,5151,629
3830,0.00008173,194.32,50.7572,11.4394,18.1103,57228,4867,625
3840,0.00008194,168.92,50.7269,9.7747,17.8608,57541,4665,514
3850,0.00008215,199.87,51.6280,8.7380,17.2008,57139,4976,605
